curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
Oenis Medina,,,,none,,,POOL
Olumiye Oni,,,,none,,,POOL
Omar Figueroa,,,,none,,,POOL
Q.J. Peterson,,,,none,,,POOL
R.J. Melendez,,,,none,,,POOL
Rafael A. Pinzon Duperoy,,,,none,,,POOL
Ramses J. Melendez Vega,,,,none,,,POOL
Raymond Cintron Jr,,,,none,,,POOL
Raúl «Tinajón» Feliciano,,,,none,,,POOL; MVP_YEARS
Reinaldo Santana,,,,none,,,POOL
Richard Nunez,,,,none,,,POOL
Ricky Ledo,,,,none,,,POOL
Rico Hopping,,,,none,,,POOL
Robiel Morales,,,,none,,,POOL
Rondae Hollis-Jefferson,,,,none,,,POOL
Ryan Arcidiacono,,,,none,,,POOL
Ryan Pearson,,,,none,,,POOL
Rychell Janga,,,,none,,,POOL
Sam Waardenburg,,,,none,,,POOL
Scottie James,,,,none,,,POOL
Sheldon Mac,,,,none,,,POOL
Stephen Thompson Jr.,,,,none,,,POOL
Stevie Thompson,,,,none,,,POOL
Tai Odiase,,,,none,,,POOL
Terence Davis,,,,none,,,POOL
Theo Pinson,,,,none,,,POOL
Theophilus A. Pinson Jr.,,,,none,,,POOL
Timajh Parker,,,,none,,,POOL
Timothy Soares,,,,none,,,POOL
Tjader Fernandez,,,,none,,,POOL
Tony Bishop Jr,,,,none,,,POOL
Torrey Craig,,,,none,,,POOL
Tory San Antonio,,,,none,,,POOL
Travis Trice,,,,none,,,POOL; MVP_YEARS; SEASON_AWARDS
Tremont Waters,,,,none,,,POOL
Tyler Cook,,,,none,,,POOL
Tyreke Evans,,,,none,,,POOL
Tyrell Harrison,,,,none,,,POOL
Vicktor Lakhin,,,,none,,,POOL
Will Barton,,,,none,,,POOL
Wilmer Lugo-Sanchez,,,,none,,,POOL
Xavier Cooks,,,,none,,,POOL
Xavier Zambrana,,,,none,,,POOL
Yahir Cordero Melendez,,,,none,,,POOL
Ysmael Romero,,,,none,,,POOL
Zavier Simpson,,,,none,,,POOL
Zhaire Jahi-Ihme Smith,,,,none,,,POOL
Ángel Daniel Vassallo,,,,none,,,POOL; MVP_YEARS; SEASON_AWARDS
Ángel «Munch» Cruz,,,,none,,,POOL
