tranche,key,original_url,timestamp,digest,local_file
B,1631,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1631&e=,20070828224223,L3CFEZDBUZHKJDN3TGL6EYDSHGZVMVCJ,1631_20070828224223.html
B,1633,http://www.bsnpr.com/jugadores/jugador.asp?id=1633,20160102214941,4CRGDEFZD2BWIMHEKDBDWSQGSRPKQPPL,1633_20160102214941.html
B,1645,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1645&e=,20070829040155,FDZOO5H2R66VRPWYGMVM4DD7HPMADYG3,1645_20070829040155.html
B,1647,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1647&e=,20070828230840,6UVZRUJAR7VLBNAZCENP6ZK5AZYWERCC,1647_20070828230840.html
B,165,http://www.bsnpr.com:80/jugadores/jugador.asp?id=165&e=,20070828223356,POJ6CIAPLMFGVU7POSUSQJIMUUJPLIED,165_20070828223356.html
B,1650,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1650&e=,20070828223514,WFQ44N3J5765667VHRWW4WXHEX4CG3NI,1650_20070828223514.html
B,1652,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1652&e=,20070829040150,TEIBCZRLOKT6VABL4YKU3XMSPK3CBEUE,1652_20070829040150.html
B,1660,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1660&e=,20090110135722,6XKVFW6533LK7TC73T3NEGHEU7HVBPUH,1660_20090110135722.html
B,1666,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1666&e=,20170715115927,BZA3ZA6BW4H2ICA6FYW6HW5FABHLJAO4,1666_20170715115927.html
B,1667,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1667&e=,20070828230418,5QEZAOAWLOZTFC4WXXBGBR4F75ZOANYB,1667_20070828230418.html
B,1673,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1673&e=,20070828230753,OWYSUFVW32TLJEMHMW6WFZT3QVVR2YAA,1673_20070828230753.html
B,1675,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1675&e=,20070828223454,VPZLV4K5H3IECT7KL5P5MBCPGLAMSRGJ,1675_20070828223454.html
B,1676,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1676&e=,20070828223636,IIARZ3PMOCMECHDHQELYLBIREGMQKZTR,1676_20070828223636.html
B,1680,http://www.bsnpr.com/jugadores/jugador.asp?id=1680,20170929232722,2MQOND65NBC7DXDSJ3WOBAYFITY6WOJT,1680_20170929232722.html
B,1684,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1684&e=,20070829040638,ERANYGOK6S4RH6YYYFW6LKOCKM5UKDZL,1684_20070829040638.html
B,1685,http://bsnpr.com:80/jugadores/jugador.asp?id=1685&e=7,20100310065704,6BBMFZ7QWM6DDCQ4BW2JWOD2JGY753XF,1685_20100310065704.html
B,1690,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1690&e=,20070829035017,ZFDXPZMELIHZVFBI3Z57UFZRG74PBYBC,1690_20070829035017.html
B,1692,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1692&e=6,20090418195415,FXAIR4GNTRS6YQKNGNWCU2BS5FU6FRZ4,1692_20090418195415.html
B,1695,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1695&e=,20070829040909,DFKI3ZXPY4YJUWYNRGP5DMSZNYPZUC7V,1695_20070829040909.html
