key,original_url,timestamp,digest,roster_team,local_file
4MPB3JOG3GWNDIX5D77D47SD7MULTC4W,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX39&e=SAN+GERMAN,20050414065208,4MPB3JOG3GWNDIX5D77D47SD7MULTC4W,SAN GERMAN,4MPB3JOG3GWNDIX5D77D47SD7MULTC4W.html
4U6CXYKD26OJK3N3OBNHGDV5QZOWYD7Z,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX35&e=SAN+GERMAN,20050903204328,4U6CXYKD26OJK3N3OBNHGDV5QZOWYD7Z,SAN GERMAN,4U6CXYKD26OJK3N3OBNHGDV5QZOWYD7Z.html
4UM2XNHVLSXR7X5N3RDEZSLRCVNVQO6X,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462776RX2U&e=,20050322231130,4UM2XNHVLSXR7X5N3RDEZSLRCVNVQO6X,,4UM2XNHVLSXR7X5N3RDEZSLRCVNVQO6X.html
4UVZLCKZWKUO3Z2RC2CAMF5UHWFKIFHW,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZB&e=,20050322103052,4UVZLCKZWKUO3Z2RC2CAMF5UHWFKIFHW,,4UVZLCKZWKUO3Z2RC2CAMF5UHWFKIFHW.html
4XD2UOIBOA7BOVABRXW4IVLEMOTM4TLI,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX2H&e=ISABELA,20061119233821,4XD2UOIBOA7BOVABRXW4IVLEMOTM4TLI,ISABELA,4XD2UOIBOA7BOVABRXW4IVLEMOTM4TLI.html
4YSDQ2CN3CD2VRO7HMO7GTN3HWHYKV4Q,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462756RX1Y&e=PONCE,20050414064531,4YSDQ2CN3CD2VRO7HMO7GTN3HWHYKV4Q,PONCE,4YSDQ2CN3CD2VRO7HMO7GTN3HWHYKV4Q.html
4ZCLE2ZDQKPC7WWI7EJGU4LXLYMBOEYG,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462716RX01&e=,20050322103833,4ZCLE2ZDQKPC7WWI7EJGU4LXLYMBOEYG,,4ZCLE2ZDQKPC7WWI7EJGU4LXLYMBOEYG.html
536X7ZXYMQTXHP3LU5NKKQ2ZQKXFW3KP,http://www.bsnpr.com:80/jugador05.asp?r2=462706RWZX&e=CAROLINA,20050321233253,536X7ZXYMQTXHP3LU5NKKQ2ZQKXFW3KP,CAROLINA,536X7ZXYMQTXHP3LU5NKKQ2ZQKXFW3KP.html
57PO3QU3KJCQU6JBFMR5XQRARZBA6Q7C,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462736RX12&e=,20050322102722,57PO3QU3KJCQU6JBFMR5XQRARZBA6Q7C,,57PO3QU3KJCQU6JBFMR5XQRARZBA6Q7C.html
5AEASCZZT7THOMX5WKMT2GLNQDCXLGAB,http://www.bsnpr.com:80/jugador05.asp?r2=462666RWXQ&e=ARECIBO,20050321042410,5AEASCZZT7THOMX5WKMT2GLNQDCXLGAB,ARECIBO,5AEASCZZT7THOMX5WKMT2GLNQDCXLGAB.html
5ER6YHBLHGETDU3ANLXE3MZFFMKZQYVN,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX39&e=SAN+GERMAN,20050921002425,5ER6YHBLHGETDU3ANLXE3MZFFMKZQYVN,SAN GERMAN,5ER6YHBLHGETDU3ANLXE3MZFFMKZQYVN.html
5G3GSXIQ5WUQUV4C7Z6WP67WIX5FQCGC,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462776RX2Q&e=QUEBRADILLAS,20050414065232,5G3GSXIQ5WUQUV4C7Z6WP67WIX5FQCGC,QUEBRADILLAS,5G3GSXIQ5WUQUV4C7Z6WP67WIX5FQCGC.html
5GDZHEH3RKWXGAKMM224MBN6LCUXU5K4,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=GFPAQCDEDB&e=PONCE,20050414064823,5GDZHEH3RKWXGAKMM224MBN6LCUXU5K4,PONCE,5GDZHEH3RKWXGAKMM224MBN6LCUXU5K4.html
