franchise_id,season,season_source,template,section,jersey_number,name_raw,name_order,height_cm,position_raw,birth_year_2digit,age,approx_birth_year,nationality_raw,years_from,years_to,former_team_raw,eurobasket_player_id,latinbasket_player_id,profile_url,completeness,source_id,source_url,retrieved_at,confidence
atleticos_san_german,2012,year_param,flat_bo,roster,22,Strong Carlos,surname_first,191,G,87,,,,,,,115097,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=115097,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,12,Rodriguez Joey,surname_first,178,PG,88,,,,,,,136228,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=136228,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,,Garnett Marlon,surname_first,188,G,75,,,,,,,20940,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=20940,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,8,Orta Raul,surname_first,196,G,85,,,,,,,47349,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=47349,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,,Portalatin Wayne,surname_first,208,C,88,,,,,,,136464,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=136464,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,24,Guitian Jose,surname_first,207,F,87,,,,,,,174062,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=174062,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,50,De Jesus Manuel,surname_first,206,C/F,83,,,,,,,40766,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=40766,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,13,Ruiz Gabriel,surname_first,198,F/C,83,,,,,,,118930,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=118930,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,8,Rosas Samuel,surname_first,180,PG,85,,,,,,,55370,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=55370,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,11,Nieves Joel,surname_first,191,G,87,,,,,,,74202,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=74202,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Strong Carlos,surname_first,191,G,87,,,,,,,115097,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=115097,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Greene Donte,surname_first,206,F,88,,,,,,,126558,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=126558,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Fontan Jio,surname_first,183,PG,90,,,,,,,163510,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=163510,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Garcia Charles,surname_first,206,F,88,,,,,,,189436,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=189436,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Early Jeff,surname_first,185,PG,88,,,,,,,221688,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=221688,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,,Guitian Jose,surname_first,207,F,87,,,,,,,174062,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=174062,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
atleticos_san_german,2013,year_param,flat_bo,roster,0,Rodriguez Joey,surname_first,178,PG,88,,,,,,,136228,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=136228,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2013,20160331154330,single-source
