key,original_url,timestamp,digest,roster_team,local_file
4RGTBYOWVGFIGL2JNY4KEQODYHYZNU4P,http://www.bsnpr.com:80/jug05.asp?r2=462696RWZC&r=00083&e=CAROLINA,20050409233511,4RGTBYOWVGFIGL2JNY4KEQODYHYZNU4P,CAROLINA,4RGTBYOWVGFIGL2JNY4KEQODYHYZNU4P.html
4S53Y565T6N2GY6VEU3MF3ESQI7TMA4I,http://www.bsnpr.com:80/jug05.asp?r3=NLVVZ&r2=MAOZKUXFDO&r=00522&e=,20061008162153,4S53Y565T6N2GY6VEU3MF3ESQI7TMA4I,,4S53Y565T6N2GY6VEU3MF3ESQI7TMA4I.html
4S5SDHYV6Z32FD7D6ILHBMFTW3T2PCMX,http://www.bsnpr.com:80/jug05.asp?r=00500,20060618110535,4S5SDHYV6Z32FD7D6ILHBMFTW3T2PCMX,,4S5SDHYV6Z32FD7D6ILHBMFTW3T2PCMX.html
4XLBBFFOWPGZVFGGOTBEW2BM2UEG63BY,http://www.bsnpr.com:80/jug05.asp?r3=00185&r2=462756RX1N&r=00044&e=,20070404013906,4XLBBFFOWPGZVFGGOTBEW2BM2UEG63BY,,4XLBBFFOWPGZVFGGOTBEW2BM2UEG63BY.html
4Z7QZT3CNJQL2UII26VMFHAVSACKQESG,http://www.bsnpr.com:80/jug05.asp?r=00572,20070224202310,4Z7QZT3CNJQL2UII26VMFHAVSACKQESG,,4Z7QZT3CNJQL2UII26VMFHAVSACKQESG.html
52PIVQ3GYTVSMNO7OPXNYNJH5K24UEW7,http://www.bsnpr.com:80/jug05.asp?r2=462676RWYF&r3=00039&r=00110&e=SANTURCE,20060828221323,52PIVQ3GYTVSMNO7OPXNYNJH5K24UEW7,SANTURCE,52PIVQ3GYTVSMNO7OPXNYNJH5K24UEW7.html
53JOCRZNGTJKUZIPNNJBYQKPE33GZL72,http://www.bsnpr.com:80/jug05.asp?r2=462736RX12&r3=00158&e=ARECIBO,20050924073701,53JOCRZNGTJKUZIPNNJBYQKPE33GZL72,ARECIBO,53JOCRZNGTJKUZIPNNJBYQKPE33GZL72.html
5CQKZS7SY3ECGX6KDUYVPONSPCXHXN7S,http://www.bsnpr.com:80/jug05.asp?r2=462736RX12&r3=00158&r=00010&e=SAN+GERMAN,20070224202719,5CQKZS7SY3ECGX6KDUYVPONSPCXHXN7S,SAN GERMAN,5CQKZS7SY3ECGX6KDUYVPONSPCXHXN7S.html
5EIMLAUBJVWQ4KUQWS2DMIUEP7J6XTIZ,http://www.bsnpr.com:80/jug05.asp?r3=00195&r2=462756RX1X&r=00031&e=,20070404013935,5EIMLAUBJVWQ4KUQWS2DMIUEP7J6XTIZ,,5EIMLAUBJVWQ4KUQWS2DMIUEP7J6XTIZ.html
5EQBGF6SHJBFJPII3JJCQTNJ7X2CET63,http://www.bsnpr.com:80/jug05.asp?r=00528,20070224202350,5EQBGF6SHJBFJPII3JJCQTNJ7X2CET63,,5EQBGF6SHJBFJPII3JJCQTNJ7X2CET63.html
5FA5KBWATF7MZOAW5ZCQWNWBLYF43CUE,http://www.bsnpr.com:80/jug05.asp?r3=00007&r2=462666RWXR&r=00014&e=,20061215134720,5FA5KBWATF7MZOAW5ZCQWNWBLYF43CUE,,5FA5KBWATF7MZOAW5ZCQWNWBLYF43CUE.html
5HVJJZMVCMUKSLHRO5YSMWWQIKYYPEVX,http://www.bsnpr.com:80/jug05.asp,20050713232542,5HVJJZMVCMUKSLHRO5YSMWWQIKYYPEVX,,5HVJJZMVCMUKSLHRO5YSMWWQIKYYPEVX.html
5HWEZPPCEAIRAZ6NUWCZFZ6FGRRSENHU,http://www.bsnpr.com:80/jug05.asp?r2=462696RWZ6&r=00075&e=CAGUAS,20050906053513,5HWEZPPCEAIRAZ6NUWCZFZ6FGRRSENHU,CAGUAS,5HWEZPPCEAIRAZ6NUWCZFZ6FGRRSENHU.html
5LKXYUJDADGS7MSUZOFC3K4FVQF2IDRG,http://www.bsnpr.com:80/jug05.asp?r2=462736RX0S&r=00145&e=BAYAMON,20050922135649,5LKXYUJDADGS7MSUZOFC3K4FVQF2IDRG,BAYAMON,5LKXYUJDADGS7MSUZOFC3K4FVQF2IDRG.html
