obs_source,player_raw,club_raw,season,bsnpr_id,canonical_name,match_method,club_check,confidence
player_season_leaders.csv,"Garcia, Jonathan",Piratas,2013,1094,"Garcia Bermudez, Jonathan",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Gaston, Chris",,2018,2821,"Gaston, Chris",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"González, Javier",Cangrejeros,2013,2513,"González López, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"González, Javier",,2018,2513,"González López, Javier",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Graham, Joseph",Mets,2013,2769,"Graham, Joseph",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Gransberry, Kentrell",Indios,2013,2774,"Gransberry, Kentrell",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Graterol, Windy",Capitanes,2013,2827,"Graterol, Windy",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guevara, Diego",Vaqueros,2008,2443,"Guevara, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guitian, Jose",Atleticos,2013,2565,"Guitian Alicea, Jose",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guzman, Ansel M",Conquistadores,2009,158,"Guzman Hernaiz, Ansel M",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Guzman, Ansel M",Mets,2010,158,"Guzman Hernaiz, Ansel M",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guzman, Ansel M",Mets,2012,158,"Guzman Hernaiz, Ansel M",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guzman, Ansel M",Caciques,2014,158,"Guzman Hernaiz, Ansel M",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Guzman, Ansel M.","Grises, Humacao",2007,158,"Guzman Hernaiz, Ansel M",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Guzman, Ansel M.",Grises,2008,158,"Guzman Hernaiz, Ansel M",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Hamilton, Kevin","Cariduros, Fajardo",2007,2356,"Hamilton Rivera, Kevin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Hamilton, Kevin",Indios,2009,2356,"Hamilton Rivera, Kevin",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Hamilton, Kevin",Indios,2014,2356,"Hamilton Rivera, Kevin",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Harrellson, Josh",,2013,2794,"Harrellson, Josh",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Harris, Mike",Atleticos,2012,2697,"Harris, Mike",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Harris, Mike",Leones,2013,2697,"Harris, Mike",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Harris, Mike",Leones,2014,2697,"Harris, Mike",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Hernandez, Luis",Piratas,2018,2637,"Hernandez Matias, Luis",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Hickerson, LeRoy",,2013,2642,"Hickerson, LeRoy",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Hinson, Darnell",Gallitos,2010,2465,"Hinson Gaines, Darnell",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Hodge Jr., Walter",Capitanes,2014,2514,"Hodge Jr., Walter",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Hodge Jr., Walter",Capitanes,2018,2514,"Hodge Jr., Walter",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Huertas, David",Piratas,2012,451,"Huertas, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Huertas, David",Piratas,2013,451,"Huertas, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Huertas, David",Piratas,2014,451,"Huertas, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Huertas, David",,2018,451,"Huertas, David",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Jimenez, Giovanni",Indios,2008,812,"Jimenez Brain, Giovanni",name+season_in_career,no_obs_club,single-source
