bsnpr_id,notes_es,birthplace,roster_team,roster_year,jersey,source_id,source_url,retrieved_at
2028,"Escolta de la Selección Nacional de Puerto Rico participando en el Pre-Olímpico de las Américas y uno de los líderes responsables de una medalla de bronce en los Juegos Panamericanos en la República Dominicana. Excelente jugador defensivo, anticipa bien la bola y su rango de tiro ha mejorado grandemente gracias a su desarrollo en ligasm de desarrollo en Estados Unidos.","North Bergen, New Jersey",Santurce,2005,22,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233159id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462656RWXM&e=,2026-09-10T03:17:49Z
2056,"Puede jugar de armador si es necesario, es veloz y un buen rebotero. Internacional con la selección nacional de Cuba y tiene experiencia en Sudamerica y a nivel colegial en los Estados Unidos.","La Habana, Cuba",BAYAMON,2005,05,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233038id_/http://www.bsnpr.com:80/jugador05.asp?r2=462726RX0E&e=BAYAMON,2026-09-10T03:18:45Z
2070,"Tiene un buen tiro de tres, cuenta con buena velocidad y debe de ganarse mas minutos por su veteranía en el BSN.","Caguas, Puerto Rico",CAGUAS,2006,05,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235842id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462686RWYQ&e=CAGUAS,2026-09-10T03:27:43Z
2074,"Sólido armador de los Leones de Ponce, uno de los jugadores mas rápidos y un verdadero 'coach' en la cancha. Ha mejorado grandemente su rango de tiro. Su ofensiva se basa mayormente en penetraciones y en el juego de transición. Cuenta con buenas habilidades defensivas.","Ponce, Puerto Rico",PONCE,2005,10,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064531id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462756RX1Y&e=PONCE,2026-09-10T03:13:44Z
2090,"Rolando cuenta con excelentes habilidades defensivas y utiliza su inteligencia para ayudar al máximo en la cancha, tiene suficientes habilidades ofensivas para jugar de armador, escolta hasta delantero fuerte si lo amerita. Tiene un buen rango de tiro y buen manejo de balón.","San Juan, Puerto Rico",SANTURCE,2005,12,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233329id_/http://www.bsnpr.com:80/jugador05.asp?r2=462796RX3G&e=SANTURCE,2026-09-10T03:14:26Z
2120,"Graduado de Jackson State University y seleccionado por Golden State Warriors en el NBA Draft (1994) en la segunda ronda. Ha participado en la CBA, Italia, Grecia, Francia, IBL, Venezuela y Argentina. Puede jugar desde armador hasta alero pero se desenvuelve mas como armador por su explosividad ofensiva, buen manejo de balón y su estatura.","Jackson, Mississippi",Santurce,2005,09,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322230923id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=UXVQBCKQAR&e=,2026-09-10T03:14:59Z
2122,Primer seleccionado en el Sorteo de Jugadores de Nuevo Ingreso del 2004. Cuenta con buenas habilidades ofensivas siendo un jugador completo en ambos lados de la cancha. Ha tenido experiencia previa a nivel colegial en los Estados Unidos.,"Carolina, Puerto Rico",ISABELA,2005,04,wayback_bsnpr_jugador05,https://web.archive.org/web/20050415172806id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=VAKWNGFMXW&e=ISABELA,2026-09-10T03:15:26Z
2174,"Jugó en la Universidad de George Washington pero salió temprano. Ha tenido experiencia en la NBDL, USBL y últimamente en Uruguay. Jugador veloz, rápido, bien ofensivo y defensivo. Tiene buena fortaleza y con una buena actitud.","Washington, D.C.",ISABELA,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050415172703id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=SDSYGKXYYO&e=ISABELA,2026-09-10T03:13:27Z
2201,,"Santurce, Puerto Rico",Santurce,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322102722id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462736RX12&e=,2026-09-10T03:13:50Z
2225,,New York,ARECIBO,2006,04,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235854id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462736RX0R&e=ARECIBO,2026-09-10T03:27:38Z
2228,,"Inglewood, California",SAN GERMAN,2006,01,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235346id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=JQDFUJBFUW&e=SAN%20GERMAN,2026-09-10T03:27:59Z
2233,Jugador que ha explotado ofensivamente en la Súper Liga 25. Cuenta con una buen ofensiva a media distancia y puede ser tambien un buen rebotero.,"Cupey, Puerto Rico",Santurce,2005,17,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103346id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZX&e=,2026-09-10T03:12:24Z
2261,"Veloz y bien ofensivo, viniendo del banco puede ser una sorpresa para cualquier equipo. Hermano menor de Fernando Ortiz.","Coamo, Puerto Rico",COAMO,2005,01,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233315id_/http://www.bsnpr.com:80/jugador05.asp?r2=462716RX03&e=COAMO,2026-09-10T03:14:09Z
2300,"Buen jugador defensivo, su fogosidad lo hace una buena adición a cualquier equipo. En ofensiva puede ser una sorpresa teniendo un buen rango de tiro y buen manejador de balón. Su basketball sense es muy bueno haciendolo un coach en la cancha.",New York,COAMO,2005,12,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321232855id_/http://www.bsnpr.com:80/jugador05.asp?r2=462756RX1X&e=COAMO,2026-09-10T03:20:09Z
2350,,,CAYEY,2005,04,wayback_bsnpr_jugador05,https://web.archive.org/web/20050911034641id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=VUWFEZRURI&e=CAYEY,2026-09-10T03:12:50Z
2722,"Piculín es una de las glorias mas grandes del baloncesto puertorriqueño, defendiendo nuestros colores y poniendo nuestro nombre en alto en todas las competencias y ligas internacionales. Se graduó de Oregon State University y jugó en la NBA con los Jazz de Utah y luego se fué a Europa a jugar en España y Grecia. Participó tambien en Venezuela en dos temporadas. E n nuestra selección nacional, hizo su debut en el 1983, en los Juegos Panamericanos en Caracas, Venezuela y desde ese entonces nunca ha dejado de competir por Puerto Rico. Su actuación que jamás olvidarán los fanáticos fué en el Pre-Olímpico de las Américas 2003 en el cual encestó 21 puntos, capturó 10 rebotes, dió 10 asistencias y propinó 7 tapones para darle la medalla de bronce a Puerto Rico y su pase a las Olimpiadas de Atenas 2004.","Aibonito, Puerto Rico",SANTURCE,2005,04,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065115id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462796RX3J&e=SANTURCE,2026-09-10T03:13:09Z
990004,,"Santo Domingo, República Dom.",Santurce,2005,15,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103706id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZP&e=,2026-09-10T03:22:22Z
990009,,,COAMO,2005,44,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064452id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZT&e=COAMO,2026-09-10T03:16:47Z
990014,Uno de los mejores prospectos en la posición de alero y escolta. Ha desarrollado su tiro a larga distancia y posee una gran habilidad para brincar.,"Arecibo, Puerto Rico",Santurce,2005,21,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233251id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462666RWXR&e=,2026-09-10T03:14:56Z
990015,,,ARECIBO,2005,04,wayback_bsnpr_jugador05,https://web.archive.org/web/20050415172739id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=PVUKUVMQOM&e=ARECIBO,2026-09-10T03:14:34Z
990018,"Gran jugador defensivo, tiene buena rapidez y un tiro confiable del área de tres puntos y a media distancia. Un buen reboteador y le brinda una buena profundidad al banco de los Capitanes.","Arecibo, Puerto Rico",ARECIBO,2005,18,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064947id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462666RWXQ&e=ARECIBO,2026-09-10T03:12:30Z
